iter	Passed	Remaining
437	1436	1843
438	1440	1840
439	1443	1837
440	1446	1833
441	1449	1830
442	1453	1827
443	1456	1824
444	1460	1821
445	1464	1818
446	1468	1816
447	1471	1812
448	1483	1820
449	1498	1831
450	1506	1834
451	1523	1847
452	1527	1843
453	1530	1840
454	1533	1836
455	1536	1833
456	1541	1831
457	1548	1832
458	1552	1829
459	1556	1826
460	1559	1823
461	1562	1819
462	1565	1815
463	1568	1811
464	1571	1807
465	1574	1804
466	1577	1800
467	1580	1797
468	1583	1793
469	1587	1789
470	1590	1786
471	1594	1783
472	1598	1780
473	1601	1776
474	1604	1773
475	1607	1769
476	1611	1767
477	1615	1764
478	1618	1760
479	1622	1757
480	1627	1755
481	1631	1752
482	1634	1749
483	1637	1746
484	1641	1743
485	1645	1740
486	1648	1736
487	1651	1733
488	1655	1729
489	1659	1727
490	1663	1724
491	1666	1720
492	1669	1716
493	1673	1713
494	1676	1710
495	1679	1706
496	1682	1703
497	1686	1699
498	1689	1696
499	1692	1692
500	1695	1689
501	1699	1685
502	1701	1681
503	1705	1678
504	1709	1675
505	1712	1671
506	1715	1668
507	1719	1664
508	1722	1661
509	1726	1658
510	1729	1654
511	1731	1650
512	1735	1647
513	1739	1644
514	1742	1641
515	1746	1637
516	1749	1634
517	1753	1631
518	1756	1627
519	1759	1624
520	1762	1620
521	1766	1617
522	1769	1613
523	1772	1610
524	1775	1606
525	1777	1602
526	1780	1598
527	1783	1593
528	1785	1589
529	1788	1585
530	1791	1582
531	1793	1578
532	1796	1574
533	1799	1569
534	1801	1565
535	1804	1562
536	1807	1558
537	1809	1554
538	1812	1550
539	1815	1546
540	1818	1542
541	1820	1538
542	1823	1534
543	1826	1530
544	1829	1527
545	1832	1523
546	1835	1519
547	1838	1516
548	1841	1512
549	1844	1508
550	1847	1505
551	1850	1501
552	1853	1498
553	1856	1494
554	1859	1490
555	1862	1487
556	1865	1483
557	1868	1479
558	1871	1476
559	1874	1472
560	1877	1469
561	1880	1465
562	1883	1461
563	1886	1457
564	1888	1454
565	1891	1450
566	1894	1446
567	1897	1442
568	1899	1439
569	1902	1435
570	1905	1431
571	1908	1427
572	1911	1424
573	1913	1420
574	1916	1416
575	1919	1412
576	1921	1408
577	1924	1404
578	1926	1401
579	1929	1397
580	1932	1393
581	1934	1389
582	1937	1385
583	1939	1381
584	1942	1378
585	1945	1374
586	1947	1370
587	1950	1366
588	1953	1363
589	1956	1359
590	1959	1355
591	1962	1352
592	1964	1348
593	1967	1344
594	1969	1340
595	1972	1337
596	1975	1333
597	1978	1329
598	1981	1326
599	1983	1322
600	1986	1318
601	1989	1315
602	1992	1311
603	1994	1307
604	1997	1304
605	2000	1300
606	2002	1296
607	2005	1293
608	2008	1289
609	2011	1286
610	2015	1282
611	2017	1279
612	2020	1275
613	2024	1272
614	2026	1268
615	2029	1265
616	2032	1261
617	2035	1258
618	2038	1254
619	2041	1251
620	2044	1247
621	2047	1244
622	2050	1240
623	2053	1237
624	2056	1233
625	2059	1230
626	2062	1227
627	2066	1224
628	2069	1220
629	2072	1217
630	2075	1213
631	2078	1210
632	2081	1206
633	2084	1203
634	2087	1199
635	2091	1196
636	2094	1193
637	2097	1190
638	2100	1186
639	2103	1183
640	2106	1180
641	2109	1176
642	2112	1172
643	2115	1169
644	2118	1166
645	2122	1162
646	2125	1159
647	2128	1156
648	2131	1152
649	2133	1149
650	2137	1145
651	2140	1142
652	2143	1139
653	2146	1135
654	2149	1132
655	2152	1128
656	2155	1125
657	2159	1122
658	2162	1118
659	2164	1115
660	2168	1112
661	2171	1108
662	2175	1105
663	2178	1102
664	2181	1098
665	2184	1095
666	2187	1092
667	2190	1088
668	2193	1085
669	2196	1081
670	2198	1078
671	2201	1074
672	2205	1071
673	2207	1067
674	2211	1064
675	2214	1061
676	2217	1057
677	2220	1054
678	2223	1051
679	2226	1047
680	2229	1044
681	2233	1041
682	2236	1038
683	2239	1034
684	2242	1031
685	2245	1027
686	2249	1024
687	2252	1021
688	2255	1018
689	2258	1014
690	2261	1011
691	2264	1007
692	2267	1004
693	2270	1001
694	2273	997
695	2276	994
696	2279	990
697	2282	987
698	2286	984
699	2289	981
700	2291	977
701	2294	974
702	2298	970
703	2301	967
704	2304	964
705	2307	960
706	2310	957
707	2313	954
708	2316	950
709	2319	947
710	2322	944
711	2325	940
712	2329	937
713	2331	934
714	2335	930
715	2337	927
716	2340	923
717	2343	920
718	2346	917
719	2349	913
720	2352	910
721	2355	906
722	2358	903
723	2361	900
724	2364	896
725	2367	893
726	2370	890
727	2373	886
728	2376	883
729	2379	879
730	2382	876
731	2385	873
732	2388	869
733	2391	866
734	2394	863
735	2397	859
736	2400	856
737	2402	853
738	2405	849
739	2408	846
740	2411	843
741	2415	839
742	2417	836
743	2420	832
744	2423	829
745	2426	826
746	2430	823
747	2433	819
748	2436	816
749	2439	813
750	2442	809
751	2445	806
752	2448	803
753	2451	799
754	2454	796
755	2457	793
756	2460	789
757	2463	786
758	2466	783
759	2469	779
760	2472	776
761	2475	773
762	2478	769
763	2481	766
764	2484	763
765	2487	759
766	2490	756
767	2493	753
768	2496	749
769	2499	746
770	2501	743
771	2505	739
772	2508	736
773	2511	733
774	2514	729
775	2516	726
776	2519	723
777	2523	719
778	2526	716
779	2528	713
780	2531	709
781	2534	706
782	2537	703
783	2541	700
784	2543	696
785	2546	693
786	2549	689
787	2552	686
788	2555	683
789	2558	680
790	2561	676
791	2563	673
792	2566	669
793	2569	666
794	2572	663
795	2575	660
796	2578	656
797	2581	653
798	2584	650
799	2587	646
800	2590	643
801	2592	640
802	2595	636
803	2598	633
804	2601	630
805	2604	626
806	2607	623
807	2610	620
808	2613	616
809	2616	613
810	2619	610
811	2622	607
812	2625	603
813	2628	600
814	2630	597
815	2633	593
816	2637	590
817	2640	587
818	2643	584
819	2646	580
820	2650	577
821	2653	574
822	2656	571
823	2659	568
824	2662	564
825	2665	561
826	2669	558
827	2672	555
828	2674	551
829	2677	548
830	2680	545
831	2683	541
832	2686	538
833	2689	535
834	2692	531
835	2694	528
836	2697	525
837	2700	522
838	2703	518
839	2706	515
840	2709	512
841	2711	508
842	2714	505
843	2718	502
844	2721	499
845	2723	495
846	2726	492
847	2729	489
848	2732	485
849	2735	482
850	2738	479
851	2741	476
852	2744	472
853	2747	469
854	2750	466
855	2752	463
856	2755	459
857	2758	456
858	2761	453
859	2764	449
860	2767	446
861	2770	443
862	2772	440
863	2775	436
864	2778	433
865	2781	430
866	2784	427
867	2787	423
868	2789	420
869	2792	417
870	2795	414
871	2798	410
872	2801	407
873	2804	404
874	2806	400
875	2809	397
876	2812	394
877	2815	391
878	2818	388
879	2821	384
880	2824	381
881	2827	378
882	2830	375
883	2833	371
884	2836	368
885	2839	365
886	2842	362
887	2845	358
888	2848	355
889	2851	352
890	2853	349
891	2856	345
892	2859	342
893	2862	339
894	2865	336
895	2868	332
896	2870	329
897	2873	326
898	2876	323
899	2880	320
900	2882	316
901	2885	313
902	2888	310
903	2891	307
904	2894	303
905	2897	300
906	2899	297
907	2902	294
908	2905	290
909	2908	287
910	2911	284
911	2914	281
912	2917	277
913	2919	274
914	2922	271
915	2925	268
916	2928	265
917	2931	261
918	2934	258
919	2936	255
920	2939	252
921	2942	248
922	2945	245
923	2947	242
924	2950	239
925	2953	236
926	2956	232
927	2958	229
928	2961	226
929	2964	223
930	2966	219
931	2969	216
932	2972	213
933	2974	210
934	2977	206
935	2980	203
936	2982	200
937	2985	197
938	2988	194
939	2990	190
940	2993	187
941	2995	184
942	2998	181
943	3001	178
944	3003	174
945	3006	171
946	3009	168
947	3011	165
948	3014	161
949	3016	158
950	3019	155
951	3022	152
952	3025	149
953	3027	145
954	3030	142
955	3033	139
956	3036	136
957	3038	133
958	3041	130
959	3044	126
960	3046	123
961	3049	120
962	3052	117
963	3055	114
964	3057	110
965	3060	107
966	3063	104
967	3065	101
968	3068	98
969	3071	94
970	3074	91
971	3076	88
972	3079	85
973	3082	82
974	3084	79
975	3087	75
976	3090	72
977	3092	69
978	3095	66
979	3098	63
980	3101	60
981	3104	56
982	3106	53
983	3109	50
984	3111	47
985	3114	44
986	3117	41
987	3120	37
988	3123	34
989	3125	31
990	3128	28
991	3131	25
992	3133	22
993	3136	18
994	3139	15
995	3142	12
996	3145	9
997	3148	6
998	3150	3
999	3153	0
